Aspect Ratio:,Box Office (Gross USA):,Director:,Genre:,Original Language:,Producer:,Production Co:,Rating:,Release Date (Streaming):,Release Date (Theaters):,Runtime:,Sound Mix:,Title:,View the collection:,Writer:,url
Flat (1.85:1),$17.8M,Rod Lurie,mystery and thriller,English,"Willi Bär,    Marc Frydman,    James Spies","SE8 Group,Cinerenta,Cinecontender,Battleground Productions",R (Strong Sexual Content|Language),"May 8, 2015","Oct 13, 2000
 wide",2h 6m,"SDDS, Dolby SR, Dolby Digital, DTS, Dolby Stereo",The Contender,,,https://www.rottentomatoes.com/m/1100998-contender
,$4.9M,Sofia Coppola,drama,English,"Francis Ford Coppola,    Julie Costanzo,    Dan Halsted,    Chris Hanley","American Zoetrope,Muse Productions,Eternity Productions",R (Thematic Elements),"Aug 1, 2013","May 12, 1999
 wide",1h 37m,"Dolby Stereo, Dolby SR, Dolby Digital, Surround",The Virgin Suicides,,,https://www.rottentomatoes.com/m/virgin_suicides
Flat (1.85:1),$7.1M,Philip Kaufman,drama,English,"Julia Chasman,    Peter Kaufman,    Nick Wechsler","Hollywood Partners,Fox Searchlight,Walrus & Associates,Industry Entertainment",R (Strong Sexual Content|Language|Violence),"Nov 25, 2015","Dec 15, 2000
 wide",2h 3m,"Dolby SR, Dolby Digital, Surround",Quills,,,https://www.rottentomatoes.com/m/quills
,$348.5K,"David Shapiro,    Laurie Shapiro",documentary,English,"David Shapiro,    Laurie Shapiro","Next Wave Films,Stolen Car Productions,Lifer Films",R (Mature Thematic Material),"Mar 10, 2017",,1h 30m,,Keep the River on Your Right: A Modern Cannibal Tale,,,https://www.rottentomatoes.com/m/keep_the_river_on_your_right
,$51.8M,Gus Van Sant,drama,English,"Laurence Mark,    Dany Wolf","Columbia Pictures,Fountainbridge Films,Laurence Mark Productions",PG-13 (Some Sexual References|Brief Strong Language),"Dec 13, 2013","Dec 19, 2000
 wide",2h 13m,"Dolby Stereo, Dolby A, SDDS, DTS, Surround, Dolby Digital, Dolby SR",Finding Forrester,,,https://www.rottentomatoes.com/m/finding_forrester
Flat (1.85:1),$76.5M,"Stig Bergqvist,    Paul Demeyer","animation,kids and family,adventure",English,Gabor Csupo,"MFP,Paramount Pictures,Klasky-Csupo,Nickelodeon Movies",G,"Aug 1, 2013","Nov 17, 2000
 wide",1h 18m,"Surround, Dolby Digital, DTS, Dolby SR",Rugrats in Paris: The Movie,,,https://www.rottentomatoes.com/m/rugrats_in_paris
Flat (1.66:1),$139.3K,Joel Schumacher,drama,English,"Arnon Milchan,    Beau Flynn,    Steven Haft","Regency Entertainment,New Regency Pictures,KirchMedia,Haft Entertainment",R (Strong Sexuality|Language|Drug Use|Violence),"Dec 9, 2015",,1h 49m,"Surround, Dolby SR, Dolby Digital, Dolby Stereo",Tigerland,,,https://www.rottentomatoes.com/m/tigerland
Scope (2.35:1),$115.6M,Boaz Yakin,drama,English,"Jerry Bruckheimer,    Chad Oman","Run It Up Productions Inc.,Walt Disney Pictures,Technical Black,Jerry Bruckheimer Films",PG (Thematic Elements|Some Language),"May 27, 2016","Sep 29, 2000
 wide",1h 53m,"SDDS, Dolby Digital, DTS, Surround, Dolby SR",Remember the Titans,,,https://www.rottentomatoes.com/m/remember_the_titans
Scope (2.35:1),$95.0M,M. Night Shyamalan,mystery and thriller,English,"M. Night Shyamalan,    Barry Mendel,    Sam Mercer","Touchstone Pictures,Blinding Edge Pictures",PG-13 (Disturbing Content|Crude Sexual Reference|Mature Thematic Elements|Violent Content),"Sep 1, 2016","Nov 22, 2000
 wide",1h 47m,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",Unbreakable,,M. Night Shyamalan,https://www.rottentomatoes.com/m/unbreakable
,$95.2K,Michael Haneke,drama,Romanian,"Marin Karmitz,    Alain Sarde",Miramax,,"Aug 10, 2016","Nov 30, 2001
 limited",1h 58m,Surround,Code Unknown: Incomplete Tales of Several Journeys,,,https://www.rottentomatoes.com/m/code_unknown
