Aspect Ratio:,Box Office (Gross USA):,Director:,Genre:,Original Language:,Producer:,Production Co:,Rating:,Release Date (Streaming):,Release Date (Theaters):,Runtime:,Sound Mix:,Title:,View the collection:,Writer:,url
Scope (2.35:1),$174.5M,Jon M. Chu,romance,English,"Nina Jacobson,    Brad Simpson,    John Penotti","Color Force,Ivanhoe Pictures",PG-13 (Some Suggestive Content|Language),"Nov 6, 2018","Aug 15, 2018
 wide",2h,"DTS, Dolby Digital, SDDS",Crazy Rich Asians,,"Peter Chiarelli,    Adele Lim",https://www.rottentomatoes.com/m/crazy_rich_asians
Scope (2.35:1),$29.6M,George Tillman Jr.,"drama,crime",English,"Robert Teitel,    George Tillman Jr.,    Marty Bowen,    Wyck Godfrey","Fox 2000 Pictures,Temple Hill Entertainment,State Street Pictures",PG-13 (Language|Drug Material|Mature Thematic Elements|Some Violent Content),"Jan 8, 2019","Oct 19, 2018
 wide",2h 13m,Dolby SR,The Hate U Give,,Audrey Wells,https://www.rottentomatoes.com/m/the_hate_u_give
Flat (1.85:1),$20.9M,Paul Thomas Anderson,"drama,romance",English,"JoAnne Sellar,    Paul Thomas Anderson,    Megan Ellison,    Daniel Lupi","Annapurna Pictures,Ghoulardi Film Company,Perfect World Pictures",R (Language),"Mar 15, 2018","Jan 19, 2018
 wide",2h 10m,Dolby Digital,Phantom Thread,,Paul Thomas Anderson,https://www.rottentomatoes.com/m/phantom_thread
Scope (2.35:1),$17.5M,Boots Riley,"fantasy,sci fi,comedy",English,"Nina Yang Bongiovi,    Forest Whitaker,    Charles D. King,    George Rush,    Jonathan Duffy,    Kelly Williams",Significant Prods.,R (Graphic Nudity|Drug Use|Pervasive Language|Some Strong Sexual Content),"Oct 9, 2018","Jul 13, 2018
 wide",1h 45m,,Sorry to Bother You,,Boots Riley,https://www.rottentomatoes.com/m/sorry_to_bother_you_2018
Scope (2.35:1),$678.8M,"Anthony Russo,    Joe Russo","action,fantasy,sci fi,adventure",English,Kevin Feige,Marvel Studios,PG-13 (Intense Sci-Fi Violence|Action Throughout|Language|Some Crude References),"Jul 31, 2018","Apr 27, 2018
 wide",2h 29m,"DTS, Dolby Digital, Dolby Atmos",Avengers: Infinity War,Marvel Cinematic Universe,"Christopher Markus,    Stephen McFeely",https://www.rottentomatoes.com/m/avengers_infinity_war
Scope (2.35:1),$216.6M,Peyton Reed,"action,fantasy,comedy,adventure",English,"Kevin Feige,    Stephen Broussard",Marvel Studios,PG-13 (Sci-Fi Action Violence),"Oct 2, 2018","Jul 6, 2018
 wide",1h 58m,"Dolby Atmos, DTS",Ant-Man and The Wasp,Marvel Cinematic Universe,"Chris McKenna,    Erik Sommers,    Paul Rudd,    Andrew Barrer,    Gabriel Ferrari",https://www.rottentomatoes.com/m/ant_man_and_the_wasp
Scope (2.35:1),$31.9M,Wes Anderson,"animation,comedy,adventure",English,"Wes Anderson,    Scott Rudin,    Steven Rales,    Jeremy Dawson","American Empirical Pictures,Studio Babelsberg",PG-13 (Thematic Elements|Some Violent Images),"Jun 27, 2018","Apr 6, 2018
 wide",1h 41m,Dolby Digital,Isle of Dogs,,Wes Anderson,https://www.rottentomatoes.com/m/isle_of_dogs_2018
Scope (2.35:1),$30.0M,Craig Gillespie,"drama,comedy,biography",English,"Bryan Unkeless,    Steven Rogers,    Margot Robbie,    Tom Ackerley",IA Films,R (Some Sexual Content/Nudity|Pervasive Language|Violence),"Feb 24, 2018","Jan 12, 2018
 wide",2h 1m,Dolby Atmos,"I, Tonya",,Steven Rogers,https://www.rottentomatoes.com/m/i_tonya
Flat (1.85:1),$81.4M,Steven Spielberg,"drama,history",English,"Amy Pascal,    Kristie Macosko Krieger,    Steven Spielberg","Participant Media,DreamWorks Pictures,20th Century Fox,Amblin Entertainment,Star Thrower Entertainment",PG-13 (Language|Brief War Violence),"Apr 3, 2018","Jan 12, 2018
 wide",1h 55m,Dolby Digital,The Post,,"Liz Hannah,    Josh Singer",https://www.rottentomatoes.com/m/the_post
Flat (1.85:1),$8.0M,Armando Iannucci,comedy,English,"Nicolas Duval-Adassovsky,    Kevin Loader,    Laurent Zeitoun","Panache Productions,France 3 Cinéma,Quad Productions,Gaumont,Main Journey,La Compagnie Cinématographique",R (Some Sexual References|Language Throughout|Violence),"Jun 11, 2018","Mar 9, 2018
 limited",1h 47m,,The Death of Stalin,,"Armando Iannucci,    David Schneider,    Ian Martin",https://www.rottentomatoes.com/m/the_death_of_stalin
,$44.1M,Ari Aster,"horror,mystery and thriller",English,"Kevin Scott Frakes,    Lars Knudsen,    Buddy Patrick",PalmStar Media,R (Disturbing Images|Brief Graphic Nudity|Drug Use|Horror Violence|Language),"Aug 21, 2018","Jun 8, 2018
 wide",2h 7m,Dolby Digital,Hereditary,,Ari Aster,https://www.rottentomatoes.com/m/hereditary
Scope (2.35:1),$2.4M,Chloé Zhao,"drama,western",English,"Mollye Asher,    Sacha Ben Harroche,    Bert Hamelinck,    Chloé Zhao","Caviar,Highwayman Films",R (Language and Drug Use),"Aug 7, 2018","Apr 13, 2018
 limited",1h 44m,,The Rider,,Chloé Zhao,https://www.rottentomatoes.com/m/the_rider
,,Bing Liu,documentary,English,"Bing Liu,    Diane Moy Quon",Kartemquin Films,,"Aug 17, 2018","Aug 17, 2018
 limited",1h 33m,,Minding the Gap,,,https://www.rottentomatoes.com/m/minding_the_gap
,$11.1M,David Lowery,"drama,comedy,mystery and thriller",English,"James D. Stern,    Dawn Ostroff,    Jeremy Steckler,    Anthony Mastromauro,    Bill Holderman,    Toby Halbrooks,    James M. Johnston,    Robert Redford","Wildwood Enterprises,Condé Nast Entertainment,Identity Films,Sailor Bear",PG-13 (Brief Strong Language),"Jan 1, 2019","Oct 19, 2018
 wide",1h 33m,,The Old Man & the Gun,,David Lowery,https://www.rottentomatoes.com/m/the_old_man_and_the_gun
Flat (1.85:1),$12.3M,Tim Wardle,"biography,documentary,history,mystery and thriller,drama",English,"Grace Hughes-Hallett,    Becky Read",Raw,PG-13 (Some Mature Thematic Material),"Oct 2, 2018","Jun 29, 2018
 limited",1h 36m,,Three Identical Strangers,,,https://www.rottentomatoes.com/m/three_identical_strangers
,$1.3M,"Ian Bonhôte,    Peter Ettedgui",documentary,English (United Kingdom),"Ian Bonhôte,    Andee Ryder,    Nick Taussig,    Paul Van Carter","Misfits Entertainment,Salon Pictures",R (Language and Nudity),"Sep 25, 2018","Jul 20, 2018
 limited",1h 51m,,McQueen,,,https://www.rottentomatoes.com/m/mcqueen
Scope (2.35:1),$2.0M,Sebastián Lelio,drama,Spanish,"Juan de Dios Larraín,    Pablo Larraín,    Sebastián Lelio,    Gonzalo Maza","Muchas Gracias,Fabula,Komplizen Film,Participant Media,Setembro Cine",R (Language|A Disturbing Assault|Nudity|Sexual Content),"May 23, 2018","Feb 2, 2018
 limited",1h 43m,Dolby Digital,A Fantastic Woman,,"Sebastián Lelio,    Gonzalo Maza",https://www.rottentomatoes.com/m/a_fantastic_woman
Flat (1.85:1),$178.7K,Carla Simón,drama,Catalan,Valérie Delpierre,Instituto de la Cinematografía y de las Artes Audiovisuales,,"Aug 7, 2018","May 25, 2018
 limited",1h 38m,Dolby Atmos,Summer 1993,,Carla Simón,https://www.rottentomatoes.com/m/summer_1993
,$17.5M,"Elizabeth Chai Vasarhelyi,    Jimmy Chin",documentary,English,"Elizabeth Chai Vasarhelyi,    Jimmy Chin,    Evan Hayes,    Shannon Dill","Little Monster Films,Itinerant Media",PG-13 (Brief Strong Language),"Feb 12, 2019","Sep 28, 2018
 limited",1h 40m,,Free Solo,,,https://www.rottentomatoes.com/m/free_solo
,$3.4M,Paul Schrader,"drama,mystery and thriller",English,"Christine Vachon,    David Hinojosa,    Frank Murray,    Jack Binder,    Greg Clark,    Victoria Hill,    Gary Hamilton,    Deepak Sikka","Killer Films,Fibonacci Films,Omeira Studio Partners",R (Some Disturbing Violent Images),"Jul 31, 2018","May 18, 2018
 limited",1h 53m,,First Reformed,,Paul Schrader,https://www.rottentomatoes.com/m/first_reformed
Scope (2.35:1),$715.0K,Chang-dong Lee,"drama,mystery and thriller",Korean,"Chang-dong Lee,    Ok Gwang-hee",Pine House Film,,"Jan 29, 2019","Oct 26, 2018
 limited",2h 28m,,Burning,,Chang-dong Lee,https://www.rottentomatoes.com/m/burning_2018
Flat (1.85:1),$26.0M,Aneesh Chaganty,mystery and thriller,English,"Timur Bekmambetov,    Sev Ohanian,    Adam Sidman,    Natalie Qasabian",Bazelevs Production,PG-13 (Some Drug References|Language|Some Sexual References|Thematic Content),"Nov 13, 2018","Aug 31, 2018
 wide",1h 42m,,Searching,,"Aneesh Chaganty,    Sev Ohanian",https://www.rottentomatoes.com/m/searching_2018
Scope (2.35:1),$564.1K,Andrey Zvyagintsev,drama,Russian,"Gleb Fetisov,    Sergey Melkumov,    Alexander Rodnyansky","Senator Film Produktion,arte France Cinéma,Non-Stop Productions,Les Films du Fleuve,Why Not Productions",R (Graphic Nudity|A Brief Disturbing Image|Language|Strong Sexuality),"Sep 19, 2018","Feb 16, 2018
 limited",2h 7m,Dolby Digital,Loveless,,"Oleg Negin,    Andrey Zvyagintsev",https://www.rottentomatoes.com/m/loveless_2018
,$4.6M,Pawel Pawlikowski,"drama,history,romance",Polish,"Ewa Puszczynska,    Tanya Seghatchian","Opus Film,Apocalypso Pictures",R (Nudity|Language|Some Sexual Content),"Mar 31, 2019","Dec 21, 2018
 limited",1h 28m,,Cold War,,"Pawel Pawlikowski,    Janusz Glowacki",https://www.rottentomatoes.com/m/cold_war_2018
Scope (2.35:1),$324.3M,David Leitch,"action,fantasy,comedy,adventure",English,"Ryan Reynolds,    Simon Kinberg,    Lauren Shuler Donner","Kinberg Genre,Maximum Effort",R (Language Throughout|Brief Drug Material|Sexual References|Strong Violence),"Aug 7, 2018","May 18, 2018
 wide",2h,"Dolby Digital, Dolby Atmos",Deadpool 2,X-Men,"Ryan Reynolds,    Rhett Reese,    Paul Wernick",https://www.rottentomatoes.com/m/deadpool_2
,,Sandi Tan,documentary,English,"Jessica Levin,    Maya Rudolph,    Sandi Tan",,,"Oct 26, 2018","Oct 26, 2018
 limited",1h 36m,,Shirkers,,,https://www.rottentomatoes.com/m/shirkers
Scope (2.35:1),$771.9K,Ali Abbasi,"fantasy,romance,mystery and thriller,horror",Swedish,"Nina Bisgaard,    Peter Gustafsson,    Petra Jönsson","Meta Film Stockholm,Kärnfilm,Black Spark Film & TV",R (Graphic Nudity|A Bloody Violent Image|Language|Some Sexual Content),"Feb 22, 2019","Oct 26, 2018
 limited",1h 48m,Dolby Digital,Border,,"Ali Abbasi,    Isabella Eklöf,    John Ajvide Lindqvist",https://www.rottentomatoes.com/m/border_2018
,$1.0M,Paul Dano,drama,English,"Alex Saks,    Paul Dano,    Oren Moverman,    Ann Ruark,    Jake Gyllenhaal,    Riva Marker","Sight Unseen Pictures,Nine Stories Productions",PG-13 (Smoking|Brief Strong Language|A Sexual Situation|Thematic Material),"Jan 9, 2019","Oct 19, 2018
 limited",1h 44m,,Wildlife,,"Paul Dano,    Zoe Kazan",https://www.rottentomatoes.com/m/wildlife_2018
Scope (2.35:1),$32.7M,Alex Garland,"sci fi,mystery and thriller,adventure",English,"Scott Rudin,    Andrew Macdonald,    Allon Reich,    Eli Bush","Scott Rudin Productions,DNA Films",R (Language|Bloody Images|Some Sexuality|Violence),"Apr 22, 2018","Feb 23, 2018
 wide",1h 55m,Dolby Digital,Annihilation,,Alex Garland,https://www.rottentomatoes.com/m/annihilation
,,Jennifer Fox,drama,English,"Jennifer Fox,    Sol Bondy,    Lawrence Inglee,    Mynette Louie,    Oren Moverman,    Simone Pero,    Regina K. Scully","WeatherVane Productions,Gamechanger Films,One Two Films,Blackbird Films",,"May 27, 2018",,1h 54m,,The Tale,,Jennifer Fox,https://www.rottentomatoes.com/m/the_tale
Scope (2.35:1),$206.2K,Gustav Möller,"drama,crime,mystery and thriller",Danish,Lina Flint,Nordisk Film,R (Language),"Oct 19, 2018","Oct 19, 2018
 limited",1h 25m,,The Guilty,,"Gustav Möller,    Emil Nygaard Albertsen",https://www.rottentomatoes.com/m/the_guilty_2018
Flat (1.85:1),$127.2M,Travis Knight,"action,sci fi,adventure",English,"Lorenzo di Bonaventura,    Tom DeSanto,    Don Murphy,    Michael Bay,    Mark Vahradian","Tencent Pictures,Di Bonaventura Pictures,Bay Films,Tom DeSanto/Don Murphy,Allspark Pictures",PG-13 (Sci-Fi Action Violence),"Mar 19, 2019","Dec 21, 2018
 wide",1h 54m,"Dolby Atmos, Dolby Digital, DTS",Bumblebee,Transformers,Christina Hodson,https://www.rottentomatoes.com/m/bumblebee
Scope (2.35:1),$1.2M,Panos Cosmatos,"horror,mystery and thriller",English,"Daniel Noah,    Josh C. Waller,    Elijah Wood,    Nate Bolotin,    Adrian Politowski","SpectreVision,Company X,XYZ Films",,"Sep 14, 2018","Sep 14, 2018
 limited",2h 1m,,Mandy,,"Panos Cosmatos,    Aaron Stewart-Ahn",https://www.rottentomatoes.com/m/mandy_2018
,,Unknown Director,,,,,,,,,,Hannah Gadsby: Nanette,,,https://www.rottentomatoes.com/m/hannah_gadsby_nanette
,$14.0M,"Betsy West,    Julie Cohen",documentary,English,"Betsy West,    Julie Cohen","CNN Films,Storyville Films",PG (Some Thematic Elements|Language),"Aug 5, 2018","May 25, 2018
 wide",1h 37m,,RBG,,,https://www.rottentomatoes.com/m/rbg
,$858.9K,Roger Michell,documentary,English (United Kingdom),"Sally Angel,    Karen Steyn","Field Day Productions,BBC Arena",,"Sep 27, 2018","Sep 21, 2018
 limited",1h 23m,,Nothing Like a Dame,,,https://www.rottentomatoes.com/m/tea_with_the_dames
Flat (1.85:1),$4.3M,Carlos López Estrada,"drama,comedy",English,"Rafael Casal,    Daveed Diggs,    Keith Calder,    Jessica Calder",Snoot Entertainment,R (Language Throughout|Drug Use|Sexual References|Some Brutal Violence),"Nov 6, 2018","Jul 27, 2018
 wide",1h 35m,,Blindspotting,,"Rafael Casal,    Daveed Diggs",https://www.rottentomatoes.com/m/blindspotting
Scope (2.35:1),$2.5M,Lynne Ramsay,"drama,mystery and thriller",English (United Kingdom),"Rosa Attab,    Pascal Caucheteux,    James Wilson,    Lynne Ramsay","Why Not Productions,Film4",R (Disturbing and Grisly Images|Brief Nudity|Language|Strong Violence),"Jul 3, 2018","Apr 6, 2018
 limited",1h 30m,Dolby Digital,You Were Never Really Here,,Lynne Ramsay,https://www.rottentomatoes.com/m/you_were_never_really_here
Scope (2.35:1),$40.8M,Greg Berlanti,"drama,romance",English,"Wyck Godfrey,    Marty Bowen,    Pouya Shahbazian,    Isaac Klausner",Temple Hill Entertainment,PG-13 (Sexual References|Language|Teen Partying|Thematic Elements),"Apr 25, 2018","Mar 16, 2018
 wide",1h 50m,,"Love, Simon",,"Elizabeth Berger,    Isaac Aptaker",https://www.rottentomatoes.com/m/love_simon
Scope (2.35:1),$81.9K,Xavier Legrand,"drama,mystery and thriller",French (France),Alexandre Gavras,"K.G. Productions,France 3 Cinéma",,"Sep 18, 2018","Jun 29, 2018
 limited",1h 34m,Dolby Digital,Custody,,Xavier Legrand,https://www.rottentomatoes.com/m/custody_2018
,$200.2K,Lucrecia Martel,"drama,history",Spanish,"Vânia Catani,    Benjamín Doménech,    Santiago Gallelli","O Som e a Fúria,El Deseo S.A.,Patagonik Film Group,KNM,Strand Releasing,Lemming Film,Bananeira Filmes,Louverture Films,Telecine,Canana Films",,"Aug 8, 2018","Apr 13, 2018
 limited",1h 55m,Dolby Digital,Zama,,Lucrecia Martel,https://www.rottentomatoes.com/m/zama
,$107.8K,Maysaloun Hamoud,drama,Hebrew,Shlomi Elkabetz,"DBG / deux beaux garçons,En Compagnie Des Lamas",,"May 1, 2018","Nov 10, 2017
 limited",1h 36m,,Bar Bahar,,,https://www.rottentomatoes.com/m/in_between_2018
Scope (2.35:1),$874.6K,Ofir Raul Graizer,drama,English,"Mathias Schwerbrock,    Itai Tamir",Film Base Berlin,,"Nov 6, 2018","Jun 29, 2018
 limited",1h 45m,,The Cakemaker,,Ofir Raul Graizer,https://www.rottentomatoes.com/m/the_cakemaker
Scope (2.35:1),$201.1M,"Phil Johnston,    Rich Moore","animation,comedy,kids and family,adventure",English,Clark Spencer,Walt Disney Animation Studios,PG (Some Action and Rude Humor),"Feb 12, 2019","Nov 21, 2018
 wide",1h 52m,"SDDS, DTS, Dolby, Dolby Atmos, Dolby Digital",Ralph Breaks the Internet,,"Phil Johnston,    Pamela Ribon",https://www.rottentomatoes.com/m/ralph_breaks_the_internet
,$618.0K,Samuel Maoz,drama,Hebrew,"Michael Weber,    Viola Fügen,    Eitan Mansuri,    Cédomir Kolar,    Marc Baschet,    Michel Merkt","Bord Cadre Films,Spiro Films,KNM,Pola Pandora Filmproduktions",R (Some Sexual Content|Graphic Images|Brief Drug Use),"Jul 5, 2018","Mar 2, 2018
 limited",1h 52m,,Foxtrot,,Samuel Maoz,https://www.rottentomatoes.com/m/foxtrot_2018
,$272.0K,"Cristina Costantini,    Darren Foster",documentary,English,"Cristina Costantini,    Darren Foster,    Jeff Plunkett","Muck Media,Fusion",PG (Some Thematic Elements|Brief Language),"Nov 20, 2018","Sep 14, 2018
 limited",1h 30m,,Science Fair,,,https://www.rottentomatoes.com/m/science_fair
Flat (1.85:1),,"Joel Coen,    Ethan Coen","western,comedy,drama",English,"Joel Coen,    Ethan Coen,    Megan Ellison,    Sue Naegle","Netflix,Annapurna Pictures",R (Some Strong Violence),"Nov 16, 2018","Nov 8, 2018
 limited",2h 12m,Dolby Digital,The Ballad of Buster Scruggs,,"Joel Coen,    Ethan Coen",https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs
Flat (1.85:1),$374.3K,Atsuko Hirayanagi,"drama,comedy",English,"Jessica Elbaum,    Atsuko Hirayanagi,    Yukie Kito,    Han West",Gloria Sanchez Productions,,"May 29, 2018","Mar 2, 2018
 limited",1h 35m,,Oh Lucy!,,Boris Frumin,https://www.rottentomatoes.com/m/oh_lucy_2018
Scope (2.35:1),,Jordana Spiro,drama,English,,Superlative Films,,"Aug 3, 2018","Aug 3, 2018
 limited",1h 26m,,Night Comes On,,"Jordana Spiro,    Angelica Nwandu",https://www.rottentomatoes.com/m/night_comes_on
Scope (2.35:1),$85.6K,Warwick Thornton,"western,history,drama",English (Australia),"David Jowsey,    Greer Simpkin",Bunya Productions,R (Violence|Language Throughout|Bloody Images),"Jul 10, 2018","Apr 6, 2018
 limited",1h 53m,,Sweet Country,,,https://www.rottentomatoes.com/m/sweet_country_2018
,$112.3K,RaMell Ross,documentary,English,"Joslyn Barnes,    Su Kim,    RaMell Ross",Louverture Films,,"Feb 19, 2019","Sep 14, 2018
 limited",1h 16m,,"Hale County This Morning, This Evening",,,https://www.rottentomatoes.com/m/hale_county_this_morning_this_evening
,,"Quinn Costello,    Chris Metzler,    Jeff Springer",documentary,English,"Quinn Costello,    Chris Metzler,    Jeff Springer",,,"Apr 26, 2019","Sep 14, 2018
 limited",1h 11m,,Rodents of Unusual Size,,,https://www.rottentomatoes.com/m/rodents_of_unusual_size
,$117.2K,Stephen Schible,"documentary,music",Japanese,,"AVROTROS,NHK",,"Apr 24, 2019","Jul 6, 2018
 limited",1h 41m,,Ryuichi Sakamoto: Coda,,,https://www.rottentomatoes.com/m/ryuichi_sakamoto_coda
,$9.9K,Mouly Surya,"drama,mystery and thriller",Indonesian,"Rama Adi,    Fauzan Zidni","Cinesurya Pictures,Icarus Films",,"Nov 16, 2018","Jun 22, 2018
 limited",1h 35m,,Marlina the Murderer in Four Acts,,"Rama Adi,    Garin Nugroho,    Mouly Surya",https://www.rottentomatoes.com/m/marlina_the_murderer_in_four_acts
,$532.2K,"Dana Nachman,    Don Hardy Jr.",documentary,English,"Don Hardy Jr.,    Dana Nachman",KTF Films,,"Aug 31, 2018","Aug 31, 2018
 limited",1h 21m,Dolby Digital,Pick of the Litter,,,https://www.rottentomatoes.com/m/pick_of_the_litter
,$399.7K,Thomas Riedelsheimer,documentary,English,Leslie Hills,"Filmpunkt,Skyline Productions",PG (Brief Language),"Jun 26, 2018","Mar 9, 2018
 limited",1h 33m,,Leaning Into the Wind: Andy Goldsworthy,,,https://www.rottentomatoes.com/m/leaning_into_the_wind
Flat (1.85:1),$9.2M,Jason Reitman,"drama,comedy",English,"Mason Novick,    Diablo Cody,    Charlize Theron,    Beth Kono,    A.J. Dix,    Helen Estabrook,    Jason Reitman,    Aaron L. Gilbert","Bron Studios,Denver and Delilah Productions,Right of Way Films",R (Some Sexuality/Nudity|Language),"Jul 17, 2018","May 4, 2018
 wide",1h 34m,,Tully,,Diablo Cody,https://www.rottentomatoes.com/m/tully_2018
,,Jim Cummings,"drama,comedy",English,"Natalie Metzger,    Zack Parker,    Benjamin Wiessner",Vanishing Angle,,"Nov 1, 2018","Oct 12, 2018
 limited",1h 32m,,Thunder Road,,Jim Cummings,https://www.rottentomatoes.com/m/thunder_road_2018
,$50.9K,Rungano Nyoni,drama,English,"Juliette Grandmont,    Emily Morgan","Film4,Kinology",,"Dec 4, 2018","Sep 7, 2018
 limited",1h 30m,,I Am Not a Witch,,Rungano Nyoni,https://www.rottentomatoes.com/m/i_am_not_a_witch
Flat (1.85:1),$39.4K,Valeska Grisebach,drama,German,"Maren Ade,    Jonas Dornbach,    Valeska Grisebach,    Janine Jackowski,    Michel Merkt",Komplizen Film,,"Aug 28, 2018","Feb 16, 2018
 limited",2h,,Western,,Valeska Grisebach,https://www.rottentomatoes.com/m/western_2018
,$2.4M,Brett Haley,"drama,music,comedy",English,"Houston King,    Sam Bisbee,    Sam Slater",Northern Lights Films,PG-13 (Some Drug References|Brief Language),"Sep 13, 2018","Jun 8, 2018
 limited",1h 37m,,Hearts Beat Loud,,"Brett Haley,    Marc Basch",https://www.rottentomatoes.com/m/hearts_beat_loud
Scope (2.35:1),$698.6K,Ethan Hawke,"drama,music,biography",English,"John Sloss,    Jake Seal,    Ryan Hawke,    Ethan Hawke","Ansgar Media,Village Studios,Cinetic Media",R (Some Sexual Content|Language Throughout|Drug Use),"Jan 23, 2019","Aug 17, 2018
 limited",2h 7m,,Blaze,,"Ethan Hawke,    Sybil Rosen",https://www.rottentomatoes.com/m/blaze_2018
,,Susan Johnson,"drama,romance",English,"Dougie Cash,    Matthew Kaplan,    James Lassiter,    Brian Robbins,    Will Smith","Awesomeness Films,Overbrook Entertainment",TV14,"Aug 17, 2018",,1h 39m,,To All the Boys I've Loved Before,,Sofía Álvarez,https://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before
Scope (2.35:1),$99.9K,Coralie Fargeat,mystery and thriller,English,"Marc-Etienne Schwartz,    Marc Stanimirovic,    Jean-Yves Robin","Umedia,M.E.S Productions,Nexus Factory,Monkey Pack Films",R (Drug Use|A Rape|Strong Bloody Violence|Graphic Nudity|Language|Sexuality),"May 13, 2018","May 11, 2018
 limited",1h 48m,,Revenge,,Coralie Fargeat,https://www.rottentomatoes.com/m/revenge_2018
Flat (1.85:1),$102.6K,Tony Zierra,documentary,English,"Elizabeth Yoffe,    Tony Zierra",True Studio Media,,"Aug 14, 2018","May 11, 2018
 limited",1h 34m,,Filmworker,,,https://www.rottentomatoes.com/m/filmworker
Flat (1.85:1),,Tamara Jenkins,"drama,comedy",English,"Stefanie Azpiazu,    Anthony Bregman",Likely Story,R (Language|Strong Sexual Content|Some Graphic Nudity),"Oct 5, 2018","Oct 5, 2018
 limited",2h 4m,,Private Life,,Tamara Jenkins,https://www.rottentomatoes.com/m/private_life_2018
Scope (2.35:1),$793.4K,Michael Pearce,"horror,mystery and thriller,romance",English (United Kingdom),"Kristian Brodie,    Lauren Dark,    Ivana Mackinnon","Les Films Séville,Roadside Attractions,BFI Film Fund,British Film Institute,Film4,Entertainment One",R (Language|Disturbing Violent Content|Some Sexuality),"Aug 21, 2018","May 11, 2018
 limited",1h 47m,Dolby Digital,Beast,,Michael Pearce,https://www.rottentomatoes.com/m/beast
Flat (1.85:1),$1.2M,Andrew Haigh,drama,English (United Kingdom),Tristan Goligher,The Bureau,R (Language and Brief Violence),"Jul 3, 2018","Apr 6, 2018
 limited",2h 2m,,Lean on Pete,,Andrew Haigh,https://www.rottentomatoes.com/m/lean_on_pete
Scope (2.35:1),$27.8K,Alexandria Bombach,documentary,English,"Brock Williams,    Hayley Pappas",RYOT Films,,"Dec 7, 2018","Oct 19, 2018
 limited",1h 34m,Dolby Digital,On Her Shoulders,,,https://www.rottentomatoes.com/m/on_her_shoulders
,,Yen Tan,drama,English,,"Floren Shieh Productions,Cranium Entertainment",,"Dec 4, 2018","Oct 26, 2018
 limited",1h 25m,,1985,,Yen Tan,https://www.rottentomatoes.com/m/1985_2018
,$164.0K,Kimberly Reed,documentary,English,,"Big Sky Film Productions,Meerkat Media Collective,Big Mouth Productions",,"Oct 2, 2018","Jul 13, 2018
 limited",1h 37m,,Dark Money,,,https://www.rottentomatoes.com/m/dark_money
,$128.6K,Andrew Bujalski,comedy,English,"Houston King,    Sam Slater",Magnolia Pictures,R (Sexual References|Language|Brief Nudity),"Aug 29, 2018","Aug 24, 2018
 limited",1h 33m,,Support the Girls,,Andrew Bujalski,https://www.rottentomatoes.com/m/support_the_girls
Flat (1.85:1),$22.5K,"Juliana Rojas,    Marco Dutra","horror,fantasy",Portuguese (Brazil),"Frédéric Corvez,    Clément Duboin,    Sara Silveira","Canal+,Globo Filmes",,"Nov 13, 2018","Jul 27, 2018
 limited",2h 15m,Dolby Digital,Good Manners,,"Juliana Rojas,    Marco Dutra",https://www.rottentomatoes.com/m/good_manners
Scope (2.35:1),$1.7M,Nadine Labaki,drama,Arabic,"Nadine Labaki,    Anne-Dominique Toussaint",Mooz Films,R (Some Drug Material|Language),"Mar 26, 2019","Dec 14, 2018
 limited",2h 10m,Dolby Digital,Capernaum,,"Jihad Hojeily,    Nadine Labaki",https://www.rottentomatoes.com/m/capernaum
Scope (2.35:1),$270.6K,"Aaron Moorhead,    Justin Benson","horror,sci fi,mystery and thriller",English,"David Lawson Jr.,    Justin Benson,    Aaron Moorhead,    Thomas R. Burke,    Leal Naim","Moorhead & Benson,Pfaff & Pfaff Productions",,"Jun 26, 2018","Apr 6, 2018
 limited",1h 51m,,The Endless,,Justin Benson,https://www.rottentomatoes.com/m/the_endless
,$2.9M,Bart Layton,"drama,mystery and thriller,crime",English,"Derrin Schlesinger,    Katherine Butler,    Dimitri Doganis,    Mary Jane Skalski","Raw,Lava Bear Films",R (Language Throughout|Brief Crude/Sexual Material|Some Drug Use),"Aug 14, 2018","Jun 1, 2018
 limited",1h 56m,,American Animals,,Bart Layton,https://www.rottentomatoes.com/m/american_animals
,,Daniel Goldhaber,"horror,mystery and thriller",English,"Greg Gilreath,    Adam Hendricks,    John H. Lang",Blumhouse Productions,,"Nov 16, 2018",,1h 34m,,Cam,,Isa Mazzei,https://www.rottentomatoes.com/m/cam
Flat (1.85:1),$29.6M,"Peter Rida Michail,    Aaron Horvath","action,kids and family,animation,comedy,adventure",English,"Aaron Horvath,    Michael Jelenic,    Peggy Regan,    Peter Rida Michail,    Will Arnett","Warner Bros. Animation,DC Entertainment",PG (Action and Rude Humor),"Oct 9, 2018","Jul 27, 2018
 wide",1h 27m,"SDDS, Dolby Digital, Dolby Atmos, DTS",Teen Titans GO! to the Movies,,"Michael Jelenic,    Aaron Horvath",https://www.rottentomatoes.com/m/teen_titans_go_to_the_movies
